"id";"userID";"objectID";"visited_objects";"eventType";"eventValue";"position";"date"
"257";"1966609";"5892";"36";"object_shown_in_list";"1";"recomended";"2018-07-20 17:54:22"
"258";"1966609";"6256";"36";"object_shown_in_list";"1";"recomended";"2018-07-20 17:54:22"
"259";"1966609";"5371";"36";"object_shown_in_list";"1";"recomended";"2018-07-20 17:54:22"
"260";"1966609";"5820";"36";"object_shown_in_list";"1";"recomended";"2018-07-20 17:54:22"
"261";"1966609";"70";"36";"object_shown_in_list";"1";"recomended";"2018-07-20 17:54:22"
"262";"1966609";"6127";"36";"object_shown_in_list";"1";"recomended";"2018-07-20 17:54:22"
"834";"2498260";"6255";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:40"
"835";"2498260";"6256";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:40"
"836";"2498260";"5601";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:40"
"837";"2498260";"1276";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:40"
"838";"2498260";"5974";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:41"
"839";"2498260";"5047";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:41"
"840";"2498260";"6255";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:44"
"841";"2498260";"6256";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:44"
"842";"2498260";"5601";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:44"
"843";"2498260";"1276";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:44"
"844";"2498260";"5974";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:44"
"845";"2498260";"5047";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:30:44"
"846";"2498260";"6255";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:12"
"847";"2498260";"6256";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:12"
"848";"2498260";"5601";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:12"
"849";"2498260";"1276";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:12"
"850";"2498260";"5974";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:12"
"851";"2498260";"5047";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:12"
"852";"2498260";"6255";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:17"
"853";"2498260";"6256";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:17"
"854";"2498260";"5601";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:17"
"855";"2498260";"1276";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:17"
"856";"2498260";"5974";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:17"
"857";"2498260";"5047";"21";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:17"
"858";"2498260";"6255";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:22"
"859";"2498260";"6256";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:22"
"860";"2498260";"5601";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:22"
"861";"2498260";"1276";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:22"
"862";"2498260";"5974";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:22"
"863";"2498260";"5047";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 19:31:22"
"1965";"1495559";"6191";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:09"
"1966";"1495559";"3438";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:09"
"1967";"1495559";"6155";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:09"
"1968";"1495559";"725";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:09"
"1969";"1495559";"5600";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:09"
"1970";"1495559";"4911";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:10"
"1971";"1495559";"6096";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:10"
"1972";"1495559";"6224";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:10"
"1973";"1495559";"6219";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:10"
"1974";"1495559";"3782";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:10"
"1975";"1495559";"2331";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:10"
"1976";"1495559";"4788";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:10"
"1977";"1495559";"6191";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:16"
"1978";"1495559";"3438";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:16"
"1979";"1495559";"6155";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:16"
"1980";"1495559";"725";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:16"
"1981";"1495559";"5600";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:16"
"1982";"1495559";"4911";"22";"object_shown_in_list";"1";"recomended";"2018-07-20 21:46:16"
"1983";"2423662";"5925";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 21:47:39"
"1984";"2423662";"6027";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 21:47:39"
"1985";"2423662";"4720";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 21:47:39"
"1986";"2423662";"6061";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 21:47:39"
"1987";"2423662";"4449";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 21:47:40"
"1988";"2423662";"5927";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 21:47:40"
"2115";"2423662";"5925";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:09:32"
"2116";"2423662";"6027";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:09:32"
"2117";"2423662";"4720";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:09:32"
"2118";"2423662";"6061";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:09:32"
"2119";"2423662";"4449";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:09:32"
"2120";"2423662";"5927";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:09:32"
"2127";"2423662";"5925";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:14"
"2128";"2423662";"6027";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:14"
"2129";"2423662";"4720";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:14"
"2130";"2423662";"6061";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:14"
"2131";"2423662";"4449";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:14"
"2132";"2423662";"5927";"19";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:14"
"2133";"2423662";"4449";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:41"
"2134";"2423662";"6046";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:41"
"2135";"2423662";"6030";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:41"
"2136";"2423662";"6027";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:41"
"2137";"2423662";"6024";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:41"
"2138";"2423662";"4720";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:10:41"
"2139";"2423662";"4449";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:11:29"
"2140";"2423662";"6046";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:11:29"
"2141";"2423662";"6030";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:11:29"
"2142";"2423662";"6027";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:11:29"
"2143";"2423662";"6024";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:11:29"
"2144";"2423662";"4720";"20";"object_shown_in_list";"1";"recomended";"2018-07-20 22:11:29"
"2834";"2661633";"6248";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:11"
"2835";"2661633";"3300";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:11"
"2836";"2661633";"6221";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:11"
"2837";"2661633";"6213";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:11"
"2838";"2661633";"6228";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:11"
"2839";"2661633";"5262";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:11"
"2840";"2661633";"5837";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:11"
"2841";"2661633";"3302";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:11"
"2842";"2661633";"5836";"19";"object_shown_in_list";"1";"recomended";"2018-07-21 02:18:11"
