"id";"userID";"objectID";"eventType";"eventValue";"lastModified"
"3706361";"2705429";"263";"pageview";"1";"2018-07-16 00:04:42"
"3706364";"2705430";"5734";"pageview";"1";"2018-07-16 00:07:05"
"3706366";"2705431";"324";"pageview";"1";"2018-07-16 00:11:04"
"3706369";"2705431";"108";"pageview";"1";"2018-07-16 00:11:48"
"3706372";"2705433";"303";"pageview";"1";"2018-07-16 01:03:41"
"3706373";"2645615";"3853";"pageview";"1";"2018-07-16 01:03:41"
"3706380";"2676179";"4286";"pageview";"1";"2018-07-16 05:48:47"
"3706384";"2675945";"3823";"pageview";"1";"2018-07-16 06:40:15"
"3706388";"2705470";"303";"pageview";"1";"2018-07-16 06:46:23"
"3706394";"2692940";"6229";"pageview";"1";"2018-07-16 07:13:44"
"3706396";"2705472";"4594";"pageview";"1";"2018-07-16 07:20:26"
"3706390";"2705471";"5941";"pageview";"5";"2018-07-16 07:21:37"
"3706399";"2705474";"5669";"pageview";"2";"2018-07-16 07:42:11"
"3706404";"2705474";"3282";"pageview";"1";"2018-07-16 07:43:13"
"3706405";"2705476";"2273";"pageview";"1";"2018-07-16 07:49:41"
"3706408";"2705480";"6246";"pageview";"1";"2018-07-16 08:00:53"
"3706411";"2705478";"5333";"pageview";"1";"2018-07-16 08:02:46"
"3706414";"2705481";"4286";"pageview";"1";"2018-07-16 08:09:41"
"3706416";"2705482";"5773";"pageview";"1";"2018-07-16 08:15:42"
"3706419";"2705483";"5941";"pageview";"1";"2018-07-16 08:16:50"
"3706430";"2705484";"5837";"pageview";"1";"2018-07-16 08:20:07"
"3706426";"2705484";"5838";"pageview";"2";"2018-07-16 08:22:07"
"3706433";"2705486";"5941";"pageview";"4";"2018-07-16 08:23:11"
"3706422";"2705484";"5836";"pageview";"6";"2018-07-16 08:27:13"
"3658555";"2142666";"6155";"pageview";"2";"2018-07-16 08:29:32"
"3658560";"2142666";"6219";"pageview";"4";"2018-07-16 08:29:46"
"3706438";"2705485";"324";"pageview";"1";"2018-07-16 08:37:59"
"3706439";"2705485";"3391";"pageview";"1";"2018-07-16 08:38:16"
"3706445";"2705493";"5954";"pageview";"1";"2018-07-16 08:40:38"
"3706448";"2705495";"330";"pageview";"2";"2018-07-16 08:43:54"
"3706450";"2705494";"6242";"pageview";"1";"2018-07-16 08:44:03"
"3706453";"2705496";"3341";"pageview";"2";"2018-07-16 08:45:14"
"3706456";"2705497";"6027";"pageview";"1";"2018-07-16 08:46:41"
"3706432";"2705485";"49";"pageview";"25";"2018-07-16 08:47:58"
"3706460";"2705498";"4015";"pageview";"1";"2018-07-16 08:49:20"
"3625786";"2565192";"6216";"pageview";"17";"2018-07-16 08:53:35"
"3530129";"2565192";"5930";"pageview";"17";"2018-07-16 08:53:57"
"3530132";"2565192";"5892";"pageview";"20";"2018-07-16 08:54:06"
"3530133";"2565192";"5932";"pageview";"6";"2018-07-16 08:54:09"
"2486730";"1882146";"563";"pageview";"33";"2018-07-16 08:55:29"
"3706461";"2705503";"303";"pageview";"1";"2018-07-16 08:59:28"
"3706464";"2319870";"5266";"pageview";"1";"2018-07-16 09:00:12"
"3706466";"2319870";"5645";"pageview";"1";"2018-07-16 09:02:00"
"3706468";"2705504";"502";"pageview";"1";"2018-07-16 09:05:10"
"3706471";"2705505";"4284";"pageview";"1";"2018-07-16 09:07:13"
"3706473";"2705507";"330";"pageview";"1";"2018-07-16 09:10:02"
"3706478";"2705513";"3788";"pageview";"1";"2018-07-16 09:18:03"
"3706479";"2705511";"2608";"pageview";"1";"2018-07-16 09:18:22"
"3706481";"2705511";"4388";"pageview";"3";"2018-07-16 09:20:00"
"3588508";"2619216";"3438";"pageview";"3";"2018-07-16 09:21:19"
"3706484";"2705525";"681";"pageview";"1";"2018-07-16 09:37:08"
"3706488";"2705528";"1566";"pageview";"1";"2018-07-16 09:39:43"
"3706441";"2705492";"49";"pageview";"4";"2018-07-16 09:40:54"
"3706496";"2705531";"4284";"pageview";"1";"2018-07-16 09:41:54"
"3706499";"2705532";"49";"pageview";"1";"2018-07-16 09:44:59"
"3706502";"2705536";"1220";"pageview";"1";"2018-07-16 09:47:31"
"3706506";"2705537";"365";"pageview";"1";"2018-07-16 09:49:11"
"3706507";"2705535";"705";"pageview";"1";"2018-07-16 09:49:11"
"3706501";"2705535";"4226";"pageview";"25";"2018-07-16 09:49:38"
"3706513";"1137872";"4483";"pageview";"1";"2018-07-16 09:58:17"
"3706516";"2705541";"390";"pageview";"1";"2018-07-16 10:01:16"
"3706475";"2705510";"581";"pageview";"6";"2018-07-16 10:03:13"
"3706522";"2300856";"6255";"pageview";"1";"2018-07-16 10:04:36"
"3706524";"2705541";"105";"pageview";"1";"2018-07-16 10:04:50"
"3706526";"2300856";"6256";"pageview";"1";"2018-07-16 10:05:05"
"3706527";"2300856";"5892";"pageview";"1";"2018-07-16 10:05:23"
"3703015";"2703416";"4635";"pageview";"2";"2018-07-16 10:07:06"
"3703012";"2703416";"5359";"pageview";"4";"2018-07-16 10:08:44"
"3706529";"2705545";"389";"pageview";"2";"2018-07-16 10:09:54"
"3706533";"1727531";"787";"pageview";"2";"2018-07-16 10:11:27"
"3706537";"2705549";"5718";"pageview";"1";"2018-07-16 10:14:42"
"3706531";"2705546";"1566";"pageview";"2";"2018-07-16 10:14:58"
"3706535";"2705548";"303";"pageview";"3";"2018-07-16 10:19:36"
"3503096";"2554556";"3611";"pageview";"2";"2018-07-16 10:22:13"
"3706548";"2705553";"2048";"pageview";"1";"2018-07-16 10:26:25"
"3618305";"2211318";"6191";"pageview";"2";"2018-07-16 10:27:00"
"3706544";"2705552";"2649";"pageview";"8";"2018-07-16 10:27:27"
"3706551";"2705556";"49";"pageview";"1";"2018-07-16 10:29:28"
"3706554";"2705558";"2657";"pageview";"1";"2018-07-16 10:32:21"
"3706555";"2705559";"23";"pageview";"1";"2018-07-16 10:34:05"
"3656201";"1690469";"6024";"pageview";"2";"2018-07-16 10:37:45"
"2408125";"1120939";"263";"pageview";"4";"2018-07-16 10:38:00"
"2411492";"1690469";"143";"pageview";"4";"2018-07-16 10:38:19"
"3702489";"2703099";"578";"pageview";"5";"2018-07-16 10:38:39"
"3706559";"2705561";"2260";"pageview";"1";"2018-07-16 10:40:03"
"3706567";"2705565";"3611";"pageview";"1";"2018-07-16 10:42:54"
"3706571";"2705564";"2164";"pageview";"1";"2018-07-16 10:43:59"
"3706576";"2705566";"2649";"pageview";"1";"2018-07-16 10:44:57"
"3706578";"2705567";"3007";"pageview";"1";"2018-07-16 10:45:42"
"3706580";"2705567";"5641";"pageview";"1";"2018-07-16 10:45:47"
"3706585";"2705569";"5641";"pageview";"1";"2018-07-16 10:46:11"
"3706587";"2658700";"5892";"pageview";"1";"2018-07-16 10:46:15"
"3706591";"2705570";"96";"pageview";"2";"2018-07-16 10:48:13"
"3706595";"2705571";"300";"pageview";"1";"2018-07-16 10:48:25"
"3706598";"2705571";"302";"pageview";"1";"2018-07-16 10:48:50"
"3704038";"2704099";"2048";"pageview";"3";"2018-07-16 10:51:22"
"3706601";"2457897";"1276";"pageview";"2";"2018-07-16 10:55:10"
"2095075";"1690469";"140";"pageview";"117";"2018-07-16 10:59:29"
"3706564";"2705563";"1062";"pageview";"2";"2018-07-16 10:59:33"
"3706604";"2705575";"5367";"pageview";"1";"2018-07-16 11:01:28"
"3706607";"2705578";"303";"pageview";"1";"2018-07-16 11:04:06"
"3706610";"2705579";"1787";"pageview";"1";"2018-07-16 11:06:57"
"3706613";"2705580";"5162";"pageview";"1";"2018-07-16 11:08:28"
"3706615";"2705581";"303";"pageview";"1";"2018-07-16 11:08:43"
"3706619";"2705582";"3824";"pageview";"1";"2018-07-16 11:10:35"
"3706621";"2705584";"725";"pageview";"1";"2018-07-16 11:12:14"
"3706630";"2705588";"1062";"pageview";"1";"2018-07-16 11:18:34"
"3706631";"2705587";"5244";"pageview";"1";"2018-07-16 11:18:34"
"3706634";"2705589";"1220";"pageview";"1";"2018-07-16 11:19:38"
"3706638";"2705589";"6231";"pageview";"1";"2018-07-16 11:22:28"
"3706639";"2705591";"4917";"pageview";"1";"2018-07-16 11:22:33"
"3706643";"2705589";"6170";"pageview";"1";"2018-07-16 11:24:44"
"3706511";"2705538";"1237";"pageview";"4";"2018-07-16 11:25:25"
"3706646";"2705589";"578";"pageview";"2";"2018-07-16 11:26:49"
"3706648";"2705594";"4757";"pageview";"1";"2018-07-16 11:28:54"
"3706651";"2705595";"5750";"pageview";"1";"2018-07-16 11:31:10"
"3706655";"2705596";"5274";"pageview";"1";"2018-07-16 11:32:51"
"3706658";"2705599";"2337";"pageview";"1";"2018-07-16 11:33:43"
"3706659";"2705601";"632";"pageview";"1";"2018-07-16 11:35:51"
"3706665";"2705605";"581";"pageview";"1";"2018-07-16 11:43:07"
"3706668";"2705606";"5986";"pageview";"1";"2018-07-16 11:44:05"
"3706670";"2705608";"6277";"pageview";"1";"2018-07-16 11:45:11"
"3706680";"2705607";"3438";"pageview";"1";"2018-07-16 11:46:11"
"3706686";"2705610";"2331";"pageview";"1";"2018-07-16 11:46:34"
"3690972";"2441185";"420";"pageview";"2";"2018-07-16 11:46:44"
"3685750";"2555435";"3302";"pageview";"4";"2018-07-16 11:47:31"
"3706676";"2705607";"3782";"pageview";"2";"2018-07-16 11:48:06"
"3706684";"2705608";"6276";"pageview";"3";"2018-07-16 11:48:15"
"3706695";"2705612";"3126";"pageview";"1";"2018-07-16 11:48:18"
"3706699";"2705607";"3787";"pageview";"1";"2018-07-16 11:50:49"
"3706669";"2705607";"1687";"pageview";"2";"2018-07-16 11:51:06"
"3706678";"2705607";"386";"pageview";"2";"2018-07-16 11:51:28"
"3706702";"2705615";"674";"pageview";"1";"2018-07-16 11:53:06"
"3697391";"1137872";"6276";"pageview";"10";"2018-07-16 11:57:24"
"3706705";"2653344";"1920";"pageview";"1";"2018-07-16 11:58:47"
"3706708";"2705616";"3190";"pageview";"1";"2018-07-16 11:59:46"
"3706709";"2705616";"5938";"pageview";"1";"2018-07-16 12:00:15"
"3706711";"2705616";"6255";"pageview";"1";"2018-07-16 12:00:42"
"3706712";"2705618";"343";"pageview";"3";"2018-07-16 12:01:30"
"3706706";"2705616";"3782";"pageview";"2";"2018-07-16 12:02:03"
"3706717";"2653344";"114";"pageview";"1";"2018-07-16 12:02:07"
"3706720";"1977058";"6282";"pageview";"1";"2018-07-16 12:02:42"
